年份,领域大类,关键词（最多3个）,论文标题,"作者和单位（格式：author, institute; et al.）",论文链接,项目链接
2020,软件测试,"模糊测试,数据库分析",Testing Database Engines via Pivoted Query Synthesis,"Manuel Rigge, ETH Zurich; et al.",https://www.usenix.org/conference/osdi20/presentation/rigger,https://zenodo.org/record/4005705#.YnNWNvNBy-E 
2020,软件测试,"语言安全,可编程网络",Gauntlet: Finding Bugs in Compilers for Programmable Packet Processing,"Fabian Ruffy, New York University; et al.",https://www.usenix.org/conference/osdi20/presentation/ruffy,https://github.com/p4gauntlet/gauntlet/tree/aec
2020,软件测试,"符号执行,静态分析,配置优化",Automated Reasoning and Detection of Specious Configuration in Large Systems with Symbolic Execution,"Yigong Hu, Johns Hopkins University; et al.",https://www.usenix.org/conference/osdi20/presentation/hu,https://github.com/OrderLab/violet
2020,数据库系统,,Generalized Sub-Query Fusion for Eliminating Redundant I/O from Big-Data Queries,"Partho Sarthi, Microsoft Research India; et al.",https://www.usenix.org/conference/osdi20/presentation/sarthi,https://resin.azurehdinsight.net/zeppelin/#/notebook/2FJC89KRJ
2020,数据中心系统,"Serverless,容错,数据库事务",Fault-tolerant and transactional stateful serverless workflows,"Haoran Zhang, University of Pennsylvania; et al.",https://www.usenix.org/conference/osdi20/presentation/zhang-haoran,https://github.com/eniac/Beldi
2020,数据中心系统,"数据中心网络,缓存优化,工业互联网",A large scale analysis of hundreds of in-memory cache clusters at Twitter,"Juncheng Yang, Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi20/presentation/yang,https://github.com/Thesys-lab/InMemoryCachingWorkloadAnalysis
2020,数据中心系统,"调度策略,数据中心网络,QoS",RackSched: A Microsecond-Scale Scheduler for Rack-Scale Computers,"Hang Zhu, Johns Hopkins University; et al.",https://www.usenix.org/conference/osdi20/presentation/zhu,https://github.com/netx-repo/RSCS
2020,数据中心系统,"调度策略,云计算",Building Scalable and Flexible Cluster Managers Using Declarative Programming,"Lalith Suresh,VMware; et al.",https://www.usenix.org/conference/osdi20/presentation/suresh,https://github.com/vmware/declarative-cluster-management/
2020,数据中心系统,"调度策略,QoS,云计算",Caladan: Mitigating Interference at Microsecond Timescales,"Joshua Fried,MIT CSAIL; et al.",https://www.usenix.org/conference/osdi20/presentation/fried,https://github.com/joshuafried/caladan-artifact
2020,网络系统,"RDMA,键值存储,AIforSys,索引结构",Fast RDMA-based Ordered Key-Value Store using Remote Learned Cache,"Xingda Wei, Shanghai Jiao Tong University; et al.",https://www.usenix.org/conference/osdi20/presentation/wei,https://github.com/SJTU-IPADS/xstore/tree/legacy
2020,网络系统,"微服务,时延优化",Overload Control for µs-scale RPCs with Breakwater,"Inho Cho, MIT CSAIL; et al.",https://www.usenix.org/conference/osdi20/presentation/cho,https://github.com/joshuafried/caladan-ae/tree/osdi20ae/breakwater
2020,网络系统,"FPGA,智能网卡",hXDP: Efficient Software Packet Processing on FPGA NICs,"Marco Spaziani Brunella, Axbryd/University of Rome Tor Vergata; et al.",https://www.usenix.org/conference/osdi20/presentation/brunella,https://github.com/axbryd/hXDP-Artifacts/tree/camera-ready-v2.0
