年份,领域大类,tag,论文标题,作者,论文链接,项目链接
2021,数据库系统,,Nearest Neighbor Classifiers over Incomplete Information: From Certain Answers to Certain Predictions,"Bojan Karlaš, ETH Zürich; et al.",http://vldb.org/pvldb/vol14/p255-karlas.pdf,https://github.com/chu-data-lab/CPClean
2021,数据库系统,,Are We Ready For Learned Cardinality Estimation?,"Xiaoying Wang, Simon Fraser University; et al.",http://vldb.org/pvldb/vol14/p1640-wang.pdf,https://github.com/sfu-db/AreCELearnedYet
2021,数据库系统,,Flow-Loss: Learning Cardinality Estimates That Matter,"Parimarjan Negi, MIT CSAIL; et al.",http://vldb.org/pvldb/vol14/p2019-negi.pdf,https://github.com/learnedsystems/ceb
2021,数据库系统,,NeuroCard: One Cardinality Estimator for All Tables,"Zongheng Yang, UC Berkeley; et al.",http://vldb.org/pvldb/vol14/p61-yang.pdf,https://github.com/neurocard
2021,数据库系统,,RECEIPT: REfine CoarsE-grained IndePendent Tasks for Parallel Tip decomposition of Bipartite Graphs,"Kartik Lakhotia, USC; et al.",http://vldb.org/pvldb/vol14/p404-lakhotia.pdf,https://github.com/kartiklakhotia/RECEIPT
2021,数据库系统,,Symmetric Continuous Subgraph Matching with Bidirectional Dynamic Programming,"Seunghwan Min, Seoul National University; et al.",http://vldb.org/pvldb/vol14/p1298-han.pdf,https://github.com/SNUCSE-CTA/SymBi
2021,数据库系统,,"The Case for NLP-Enhanced Database Tuning: Towards Tuning Tools that ""Read the Manual""","Immanuel Trummer, Cornell; et al.",http://vldb.org/pvldb/vol14/p1159-trummer.pdf,https://tinyurl.com/9crrjezv
2021,数据库系统,,Quality of Sentiment Analysis Tools: The Reasons of Inconsistency,"Wissam Mammar Kouadri, University of Paris; et al.",http://vldb.org/pvldb/vol14/p668-kouadri.pdf,https://github.com/AbCd256/Quality-of-sentiment-analysis-tools.git
2021,数据库系统,,CBench: Towards Better Evaluation of Question Answering Over Knowledge Graphs,"Abdelghny Orogat, Carleton University; et al.",http://vldb.org/pvldb/vol14/p1325-orogat.pdf,https://github.com/aorogat/CBench
2021,数据库系统,,Explaining Inference Queries with Bayesian Optimization,"Brandon Lockhart, Simon Fraser University; et al.",http://vldb.org/pvldb/vol14/p2576-lockhart.pdf,https://github.com/sfu-db/BOExplain
2021,数据库系统,,Data Acquisition for Improving Machine Learning Models,"Yifan Li, York University; et al.",http://vldb.org/pvldb/vol14/p1832-li.pdf,https://github.com/AwesomeYifan/Data-acquisition-for-ML
2021,数据库系统,,"In the Land of Data Streams where Synopses are Missing, One Framework to Bring Them All","Rudi Poepsel-Lemaitre, Technische Universität Berlin; et al.",http://vldb.org/pvldb/vol14/p1818-poepsel-lemaitre.pdf,https://github.com/TU-Berlin-DIMA/Condor
2021,数据库系统,,PR-Sketch: Monitoring Per-key Aggregation of Streaming Data with Nearly Full Accuracy,"Qun Huang, Peking University; et al.",http://vldb.org/pvldb/vol14/p1783-huang.pdf,https://github.com/N2-Sys/PR-Sketch
2021,数据库系统,,Ananke: A Streaming Framework for Live Forward Provenance,"Dimitris Palyvos-Giannas, Chalmers University of Technology; et al.",http://vldb.org/pvldb/vol14/p391-palyvos-giannas.pdf,https://github.com/dmpalyvos/ananke
2021,数据库系统,,Collective Influence Maximization for Multiple Competing Products with an Awareness-to-Influence Model,"Dimitris Tsaras, HKUST; et al.",http://vldb.org/pvldb/vol14/p1124-papadias.pdf,https://github.com/dtsaras/GCW
